Date,Open,High,Low,Close
2010-12-27,0.941064,0.965197,0.935164,0.960896
2011-01-03,0.960896,0.963989,0.941773,0.950546
2011-01-10,0.950546,0.956072,0.934212,0.951556
2011-01-17,0.951556,0.970286,0.951556,0.968198
2011-01-24,0.968198,0.969003,0.941861,0.947409
2011-01-31,0.947409,0.965453,0.94499,0.949449
2011-02-07,0.949449,0.954628,0.932756,0.934872
2011-02-14,0.934872,0.946152,0.93006,0.944296
2011-02-21,0.944296,0.945873,0.920587,0.925399
2011-02-28,0.925399,0.950612,0.922924,0.946401
2011-03-07,0.946401,0.950479,0.915706,0.922016
2011-03-14,0.922016,0.928435,0.906597,0.920512
2011-03-21,0.920512,0.930377,0.901724,0.902378
2011-03-28,0.902378,0.90369,0.892055,0.900254
2011-04-04,0.900254,0.910201,0.897913,0.90464
2011-04-11,0.90464,0.907247,0.888912,0.892071
2011-04-18,0.892071,0.897939,0.882138,0.893346
2011-04-25,0.893346,0.90296,0.886185,0.900674
2011-05-02,0.900674,0.902545,0.872459,0.87479
2011-05-09,0.87479,0.876044,0.853635,0.855824
2011-05-16,0.855824,0.861946,0.846143,0.853388
2011-05-23,0.853388,0.861091,0.841376,0.859568
2011-05-30,0.859568,0.863016,0.844453,0.851831
2011-06-06,0.851831,0.854128,0.833965,0.834619
2011-06-13,0.834619,0.845719,0.821616,0.826766
2011-06-20,0.826766,0.830548,0.797277,0.798528
2011-06-27,0.798528,0.802565,0.795083,0.799848
2011-07-04,0.799848,0.803557,0.792399,0.797989
2011-07-11,0.797989,0.799096,0.784653,0.79583
2011-07-18,0.79583,0.815432,0.78975,0.813476
2011-07-25,0.813476,0.826346,0.811519,0.823767
2011-08-01,0.823767,0.826557,0.813969,0.822628
2011-08-08,0.822628,0.82708,0.811907,0.821174
2011-08-15,0.821174,0.842604,0.819974,0.835216
2011-08-22,0.835216,0.840322,0.82164,0.828717
2011-08-29,0.828717,0.834146,0.820115,0.82466
2011-09-05,0.82466,0.82466,0.809398,0.811089
2011-09-12,0.811089,0.811544,0.800291,0.804663
2011-09-19,0.804663,0.811552,0.789937,0.797498
2011-09-26,0.797498,0.809413,0.795308,0.802844
2011-10-03,0.802844,0.802844,0.78252,0.797365
2011-10-10,0.797365,0.822761,0.795643,0.820737
2011-10-17,0.820737,0.848034,0.811291,0.847773
2011-10-24,0.847773,0.878446,0.844168,0.877037
2011-10-31,0.877037,0.897894,0.864176,0.895507
2011-11-07,0.895507,0.915394,0.893193,0.912998
2011-11-14,0.912998,0.924218,0.897189,0.918354
2011-11-21,0.918354,0.926731,0.906418,0.91469
2011-11-28,0.91469,0.954644,0.91469,0.943785
2011-12-05,0.943785,0.964397,0.941426,0.95797
2011-12-12,0.95797,0.95797,0.932648,0.940941
2011-12-19,0.940941,0.950347,0.936074,0.936332
2011-12-26,0.936332,0.943392,0.893755,0.902135
2012-01-02,0.902135,0.91813,0.897632,0.903833
2012-01-09,0.903833,0.928873,0.902122,0.9179
2012-01-16,0.9179,0.926866,0.911919,0.926593
2012-01-23,0.926593,0.950916,0.923296,0.95007
2012-01-30,0.95007,0.973479,0.945684,0.969035
2012-02-06,0.969035,0.981293,0.964114,0.970401
2012-02-13,0.970401,0.983812,0.963784,0.98161
2012-02-20,0.98161,0.994357,0.978267,0.992869
2012-02-27,0.992869,1.02726,0.988134,1.016783
2012-03-05,1.016783,1.042221,1.008272,1.031472
2012-03-12,1.031472,1.057076,1.027009,1.055656
2012-03-19,1.055656,1.067987,1.054403,1.064077
2012-03-26,1.064077,1.089314,1.059811,1.087161
2012-04-02,1.087161,1.099401,1.07939,1.096038
2012-04-09,1.096038,1.11239,1.091935,1.102522
2012-04-16,1.102522,1.136617,1.100824,1.134358
2012-04-23,1.134358,1.167107,1.131521,1.165659
2012-04-30,1.165659,1.178982,1.160382,1.172296
2012-05-07,1.172296,1.17795,1.169193,1.16936
2012-05-14,1.16936,1.173663,1.151852,1.157819
2012-05-21,1.157819,1.160404,1.139278,1.140889
2012-05-28,1.140889,1.146725,1.119243,1.125481
2012-06-04,1.125481,1.140324,1.123113,1.130463
2012-06-11,1.130463,1.140195,1.121987,1.139274
2012-06-18,1.139274,1.142646,1.12647,1.128382
2012-06-25,1.128382,1.156962,1.125145,1.155571
2012-07-02,1.155571,1.157522,1.137672,1.139599
2012-07-09,1.139599,1.153548,1.138363,1.152704
2012-07-16,1.152704,1.178423,1.148832,1.169684
2012-07-23,1.169684,1.207298,1.159553,1.204971
2012-07-30,1.204971,1.210445,1.195001,1.206665
2012-08-06,1.206665,1.216833,1.199336,1.2156
2012-08-13,1.2156,1.238709,1.213368,1.234326
2012-08-20,1.234326,1.268418,1.233453,1.260176
2012-08-27,1.260176,1.278587,1.255744,1.275796
2012-09-03,1.275796,1.29964,1.274943,1.297297
2012-09-10,1.297297,1.324101,1.293577,1.320794
2012-09-17,1.320794,1.339988,1.320435,1.3333
2012-09-24,1.3333,1.356164,1.329496,1.346971
2012-10-01,1.346971,1.358349,1.342554,1.350903
2012-10-08,1.350903,1.355301,1.33818,1.353204
2012-10-15,1.353204,1.358247,1.340729,1.3414
2012-10-22,1.3414,1.366373,1.333739,1.362869
2012-10-29,1.362869,1.387277,1.354803,1.374086
2012-11-05,1.374086,1.37563,1.36091,1.361552
2012-11-12,1.361552,1.363308,1.333481,1.338563
2012-11-19,1.338563,1.35522,1.338411,1.353101
2012-11-26,1.353101,1.367183,1.350577,1.362647
2012-12-03,1.362647,1.373005,1.357081,1.360413
2012-12-10,1.360413,1.367274,1.338969,1.345962
2012-12-17,1.345962,1.354499,1.341666,1.343086
2012-12-24,1.343086,1.346135,1.326848,1.335272
2012-12-31,1.37074,1.380203,1.352071,1.356986
2013-01-07,1.356986,1.362147,1.344139,1.355452
2013-01-14,1.355452,1.357772,1.316712,1.317534
2013-01-21,1.317534,1.319992,1.272765,1.277065
2013-01-28,1.277065,1.282173,1.266798,1.267388
2013-02-04,1.267,1.276429,1.259261,1.272183
2013-02-11,1.272779,1.273617,1.220485,1.224637
2013-02-18,1.22384,1.224171,1.186848,1.190205
2013-02-25,1.182613,1.193766,1.171902,1.176242
2013-03-04,1.176336,1.188622,1.158302,1.16073
2013-03-11,1.160769,1.167832,1.146009,1.16303
2013-03-18,1.163184,1.16537,1.136026,1.151192
2013-03-25,1.151517,1.15377,1.143768,1.151967
2013-04-01,1.151012,1.158746,1.133834,1.157147
2013-04-08,1.154273,1.158419,1.149363,1.153052
2013-04-15,1.15297,1.156427,1.120602,1.121684
2013-04-22,1.121677,1.132772,1.1129,1.13096
2013-04-29,1.131771,1.139818,1.130484,1.136897
2013-05-06,1.136897,1.139175,1.114802,1.118522
2013-05-13,1.117561,1.119978,1.093163,1.093971
2013-05-20,1.095248,1.102077,1.072653,1.080462
2013-05-27,1.08109,1.091747,1.073574,1.088495
2013-06-03,1.089183,1.117555,1.088337,1.108307
2013-06-10,1.105556,1.11782,1.104088,1.115043
2013-06-17,1.117188,1.118801,1.075034,1.078468
2013-06-24,1.075342,1.0827,1.058036,1.061029
2013-07-01,1.060422,1.063841,1.031656,1.033558
2013-07-08,1.032704,1.053942,1.027846,1.045391
2013-07-15,1.045391,1.050245,1.033633,1.046143
2013-07-22,1.046335,1.055081,1.036202,1.044186
2013-07-29,1.043955,1.046413,1.028194,1.04068
2013-08-05,1.040708,1.056608,1.031547,1.051934
2013-08-12,1.0504,1.052985,1.027673,1.040907
2013-08-19,1.040247,1.047063,1.035151,1.036884
2013-08-26,1.036757,1.040028,1.028589,1.033197
2013-09-02,1.03533,1.041199,1.03266,1.037414
2013-09-09,1.036664,1.049745,1.036664,1.048919
2013-09-16,1.052553,1.054913,1.034067,1.041393
2013-09-23,1.041231,1.045785,1.001344,1.011183
2013-09-30,1.011427,1.018953,0.997787,0.997955
2013-10-07,0.99861,1.005212,0.989353,0.991498
2013-10-14,0.992891,0.995856,0.973609,0.990197
2013-10-21,0.990362,0.995268,0.980878,0.983531
2013-10-28,0.983409,0.986287,0.967105,0.967792
2013-11-04,0.96812,0.977649,0.966795,0.971517
2013-11-11,0.970546,0.971832,0.949432,0.963567
2013-11-18,0.963735,0.970103,0.960249,0.969936
2013-11-25,0.969906,0.974844,0.963724,0.973517
2013-12-02,0.973714,0.978301,0.967489,0.970571
2013-12-09,0.970589,0.977828,0.950872,0.952685
2013-12-16,0.95241,0.960475,0.947424,0.951246
2013-12-23,0.951753,0.95996,0.945142,0.95392
2013-12-30,0.95392,0.969732,0.953115,0.958553
2014-01-06,0.957397,0.963584,0.954161,0.961542
2014-01-13,0.961431,0.96307,0.941961,0.948216
2014-01-20,0.948262,0.956416,0.943896,0.94548
2014-01-27,0.946794,0.953954,0.941749,0.942133
2014-02-03,0.941222,0.942535,0.930356,0.938995
2014-02-10,0.938543,0.956574,0.937729,0.955837
2014-02-17,0.957128,0.960387,0.943634,0.943833
2014-02-24,0.944401,0.950213,0.941506,0.948328
2014-03-03,0.946946,0.949184,0.939754,0.942772
2014-03-10,0.943703,0.944555,0.934381,0.93856
2014-03-17,0.938081,0.939902,0.920921,0.921401
2014-03-24,0.92006,0.928913,0.92006,0.927993
2014-03-31,0.929109,0.930743,0.92118,0.922405
2014-04-07,0.922533,0.934523,0.922026,0.929345
2014-04-14,0.928556,0.930595,0.920271,0.923788
2014-04-21,0.923788,0.926854,0.919932,0.921842
2014-04-28,0.922111,0.928648,0.92075,0.926013
2014-05-05,0.926337,0.932852,0.922255,0.922989
2014-05-12,0.922863,0.926162,0.909828,0.914015
2014-05-19,0.914358,0.922386,0.913661,0.917224
2014-05-26,0.917606,0.920244,0.911177,0.914419
2014-06-02,0.915259,0.917722,0.909686,0.914922
2014-06-09,0.915183,0.923421,0.909612,0.921829
2014-06-16,0.922324,0.924459,0.914586,0.919705
2014-06-23,0.919311,0.921869,0.916495,0.920642
2014-06-30,0.920463,0.928059,0.919544,0.925717
2014-07-07,0.926187,0.926187,0.921049,0.922331
2014-07-14,0.922347,0.926302,0.91537,0.917718
2014-07-21,0.917804,0.918766,0.908953,0.909521
2014-07-28,0.909848,0.911091,0.901937,0.90242
2014-08-04,0.902608,0.906057,0.898897,0.899117
2014-08-11,0.899471,0.901546,0.888774,0.890444
2014-08-18,0.892658,0.893048,0.886303,0.886649
2014-08-25,0.885482,0.889139,0.884941,0.888144
2014-09-01,0.887989,0.890761,0.871052,0.873407
2014-09-08,0.864696,0.868756,0.85673,0.868099
2014-09-15,0.868478,0.876569,0.861812,0.863838
2014-09-22,0.864347,0.870782,0.859593,0.859704
2014-09-29,0.859535,0.862296,0.846363,0.846809
2014-10-06,0.846528,0.860116,0.846485,0.8519
2014-10-13,0.852,0.854815,0.83836,0.849572
2014-10-20,0.850374,0.854721,0.843181,0.848036
2014-10-27,0.847598,0.853097,0.839446,0.842227
2014-11-03,0.840431,0.843861,0.831626,0.835855
2014-11-10,0.836514,0.839795,0.820954,0.824845
2014-11-17,0.825645,0.828493,0.820616,0.823954
2014-11-24,0.823038,0.834467,0.822664,0.825292
2014-12-01,0.825113,0.831208,0.821039,0.821851
2014-12-08,0.821092,0.830497,0.819636,0.828315
2014-12-15,0.828731,0.83203,0.817545,0.821817
2014-12-22,0.821817,0.824132,0.814315,0.816988
2014-12-29,0.81724,0.818606,0.764489,0.764529
2015-01-05,0.763341,0.764214,0.750011,0.756112
2015-01-12,0.75707,0.759038,0.74936,0.752208
2015-01-19,0.751676,0.756908,0.743912,0.745867
2015-01-26,0.746882,0.759364,0.745678,0.750922
2015-02-02,0.753292,0.765907,0.747858,0.760026
2015-02-09,0.759567,0.769042,0.75813,0.766957
2015-02-16,0.769057,0.77397,0.763517,0.76993
2015-02-23,0.76958,0.779348,0.766581,0.773264
2015-03-02,0.772503,0.773149,0.752593,0.752593
2015-03-09,0.753084,0.7584,0.736183,0.737576
2015-03-16,0.73738,0.762933,0.73623,0.752233
2015-03-23,0.753103,0.756994,0.746488,0.750713
2015-03-30,0.751476,0.754341,0.743974,0.752867
2015-04-06,0.752827,0.756184,0.735935,0.73816
2015-04-13,0.737625,0.765404,0.734855,0.760614
2015-04-20,0.760355,0.771321,0.755387,0.771219
2015-04-27,0.770691,0.790022,0.767227,0.771473
2015-05-04,0.772003,0.791042,0.769133,0.7867
2015-05-11,0.786899,0.800623,0.784448,0.79604
2015-05-18,0.796547,0.806889,0.781967,0.795582
2015-05-25,0.794971,0.797006,0.78608,0.788835
2015-06-01,0.788896,0.796235,0.782674,0.786974
2015-06-08,0.786711,0.803626,0.78488,0.801267
2015-06-15,0.800762,0.818706,0.797923,0.815684
2015-06-22,0.815524,0.817667,0.803857,0.807966
2015-06-29,0.804965,0.810174,0.801095,0.801435
2015-07-06,0.800518,0.804839,0.789356,0.798727
2015-07-13,0.798006,0.808745,0.795576,0.804721
2015-07-20,0.804721,0.807366,0.796851,0.798855
2015-07-27,0.799221,0.811107,0.798082,0.807276
2015-08-03,0.807943,0.809005,0.797271,0.800709
2015-08-10,0.800693,0.809089,0.799013,0.808211
2015-08-17,0.808448,0.814947,0.803985,0.813143
2015-08-24,0.812511,0.819928,0.797017,0.799626
2015-08-31,0.800842,0.802302,0.787963,0.788203
2015-09-07,0.788597,0.802498,0.78841,0.799978
2015-09-14,0.799911,0.807529,0.790573,0.800531
2015-09-21,0.800464,0.802826,0.779116,0.781031
2015-09-28,0.781391,0.786806,0.778802,0.783444
2015-10-05,0.784234,0.793857,0.781601,0.789894
2015-10-12,0.789858,0.794619,0.781149,0.79075
2015-10-19,0.790791,0.79515,0.784828,0.784884
2015-10-26,0.785197,0.795439,0.783648,0.793053
2015-11-02,0.794375,0.796946,0.772584,0.773504
2015-11-09,0.773668,0.784502,0.773242,0.782544
2015-11-16,0.782421,0.788108,0.778803,0.780404
2015-11-23,0.780147,0.78098,0.77361,0.77415
2015-11-30,0.774315,0.780924,0.767324,0.778143
2015-12-07,0.777839,0.783273,0.770513,0.782153
2015-12-14,0.782749,0.78278,0.766203,0.767296
2015-12-21,0.76795,0.769517,0.76272,0.768135
2015-12-28,0.767146,0.829599,0.761006,0.823367
2016-01-04,0.823356,0.828006,0.81096,0.81153
2016-01-11,0.811832,0.816444,0.795829,0.795869
2016-01-18,0.795801,0.804557,0.788676,0.798944
2016-01-25,0.798899,0.80849,0.793676,0.798915
2016-02-01,0.799269,0.822618,0.798096,0.81304
2016-02-08,0.812036,0.817157,0.804757,0.812684
2016-02-15,0.812684,0.814764,0.797036,0.806269
2016-02-22,0.798531,0.801,0.774935,0.775679
2016-02-29,0.774997,0.79867,0.773917,0.79723
2016-03-07,0.796798,0.811622,0.79223,0.808541
